Fecha,Hora,artistName,trackName,msPlayed,Fuente
2023-06-02,10:51,Los Abuelos De La Nada,Mil Horas,1510,B
2023-06-02,10:51,Ciro y los Persas,Me Gusta,2120,B
2023-06-02,10:51,Keane,Sovereign Light Café,900,B
2023-06-02,10:51,Maná,Amor Clandestino,1140,B
2023-06-02,10:51,Cardellino,Daiquiri,1870,B
2023-06-02,10:51,Rodrigo,Ocho Cuarenta,1580,B
2023-06-02,10:51,MEUTE,You & Me,1500,B
2023-06-02,10:51,Guns N' Roses,Knockin' On Heaven's Door,1170,B
2023-06-02,10:51,Miranda!,Perfecta - Versión con Julieta Venegas,1480,B
2023-06-02,10:51,The Night Café,Please,3350,B
2023-06-02,10:51,Queen,Another One Bites The Dust - Remastered 2011,1030,B
2023-06-02,10:51,ABBA,Dancing Queen,1250,B
2023-06-02,10:51,The Smiths,You've Got Everything Now - David Jensen Session 26/06/83,1050,B
2023-06-02,10:51,The Beatles,You Like Me Too Much - Remastered 2009,1140,B
2023-06-02,10:51,Queen,I Want To Break Free - Remastered 2011,900,B
2023-06-02,10:51,Phoebe Bridgers,Motion Sickness,1060,B
2023-06-02,10:51,Fabiana Cantilo,Mi enfermedad,890,B
2023-06-02,10:51,Bon Iver,Skinny Love,1310,B
2023-06-02,10:51,Gilbert O'Sullivan,Alone Again (Naturally),1190,B
2023-06-02,10:51,Mount Dreams,Night Dive (feat. Saavan),1090,B
2023-06-02,10:51,Wham!,Wake Me Up Before You Go-Go,890,B
2023-06-02,10:51,Ben Böhmer,Breathing,2040,B
2023-06-02,10:55,Gregory Alan Isakov,Words,17240,B
2023-06-02,10:55,Miranda!,Enamorada,3980,B
2023-06-02,10:55,The Lumineers,Gloria,216120,B
2023-06-02,10:55,Los Panchos,Nosotros,6110,B
2023-05-26,01:00,Meek Mill,R.I.C.O. (feat. Drake),21668,C
2023-05-26,01:01,ROSALÍA,BESO,56576,C
2023-05-26,06:10,ROSALÍA,BESO,1258,C
2023-05-26,06:10,Selecta,Tu Nombre - Remix - Bonus Track,181845,C
2023-05-26,06:10,Gustavo Cerati,Camuflaje,3882,C
2023-05-26,06:13,Fito Paez,Un vestido y un amor,199000,C
2023-05-26,06:13,La Franela,Hacer un puente,2410,C
2023-05-26,06:13,Gustavo Cerati,Puente,12894,C
2023-05-26,06:16,Luis Alberto Spinetta,Ya No Mires Atrás,1941,C
2023-05-26,06:16,La Portuaria,A Través De Tus Ojos,1471,C
2023-05-26,06:16,Charly García,Chipi-Chipi,1834,C
2023-05-26,06:16,Soda Stereo,Trátame Suavemente - Remasterizado 2007,168661,C
2023-05-26,06:16,Pescado Rabioso,Todas las Hojas Son del Viento,1237,C
2023-05-26,06:16,Jarabe De Palo,Me gusta como eres,1237,C
2023-05-26,06:16,Gustavo Cerati,Adiós,1535,C
2023-05-26,06:16,Conociendo Rusia,Cabildo y Juramento,1408,C
2023-05-26,06:19,Soda Stereo,Te Para 3 - MTV Unplugged,18577,C
2023-05-26,06:19,Fito Paez,Pétalo de sal,163280,C
2023-05-26,06:23,Feid,Classy 101,195986,C
2023-05-26,06:24,Delaossa,Parezco Tonto,2431,C
2023-05-26,06:24,Israel B,Mejor,8981,C
2023-05-26,06:24,Fuego,Cereza,84580,C
2023-05-26,06:27,Eladio Carrion,Sin Frenos,197141,C
2023-05-26,06:28,Delaossa,Felicidades,5418,C
2023-05-26,06:30,TAICHU,NOCHE DE SATEO,173238,C
2023-05-26,06:34,TAICHU,PRESIÓN,186133,C
2023-05-26,06:38,Quevedo,AHORA QUÉ,5529,C
2023-05-26,06:38,Andrés Calamaro,Crímenes perfectos,264840,C
2023-05-26,06:41,La Portuaria,A Través De Tus Ojos,188546,C
2023-05-26,06:41,Calle 13,Un Beso de Desayuno,1460,C
2023-05-26,21:42,Fito Paez,Dos días en la vida,746,C
2023-05-26,23:38,Fito Paez,Brillante Sobre el Mic - EADDA9223,29580,C
2023-05-26,23:41,Fito Paez,Giros,187600,C
2023-05-26,23:43,Fito Paez,Taquicardia,121533,C
2023-05-26,23:47,Fito Paez,Alguna Vez Voy A Ser Libre,236560,C
2023-05-26,23:50,Fito Paez,11 Y 6,178266,C
2023-05-26,23:53,Fito Paez,Yo Vengo A Ofrecer Mi Corazon,214840,C
2023-05-26,23:59,Fito Paez,Narciso Y Quasimodo,214366,C
2023-05-27,00:03,Fito Paez,Cable A Tierra,205600,C
2023-05-27,00:06,Fito Paez,Decisiones Apresuradas,162493,C
2023-05-27,00:22,Fito Paez,D.L.G.,233590,C
2023-05-27,00:22,Selecta,Tu Nombre - Remix - Bonus Track,14928,C
2023-05-27,00:25,Cruz Cafuné,TURBO // Epifanía,157589,C
2023-05-27,00:28,Cruz Cafuné,Dios #1,200125,C
2023-05-27,00:30,Cruz Cafuné,s3_e07_theboondocks_dvdrip.mpeg,135224,C
2023-05-27,00:31,Cruz Cafuné,s3_e07_theboondocks_dvdrip.mpeg,1898,C
2023-05-27,00:31,Cruz Cafuné,Dios #1,16618,C
2023-05-27,00:31,Cruz Cafuné,BABI BOI,22815,C
2023-05-27,00:34,Cruz Cafuné,s3_e07_theboondocks_dvdrip.mpeg,135224,C
2023-05-27,00:37,Cruz Cafuné,BABI BOI,213525,C
2023-05-27,00:41,Cruz Cafuné,4 PREZ,149484,C
2023-05-27,00:41,Cruz Cafuné,Cangrinaje,35503,C
2023-05-27,04:24,Luis Alberto Spinetta,Rezo por Vos (En Vivo Estadio Vélez Sarsfield) (feat. Charly García),512,C
2023-05-27,04:29,Ciro y los Persas,Antes y Después,302788,C
2023-05-27,04:32,Charly García,Demoliendo Hoteles,135973,C
2023-05-27,04:36,La Vela Puerca,De Atar,244160,C
2023-05-27,04:40,Andrés Calamaro,Flaca,277653,C
2023-05-27,04:44,Los Piojos,Ruleta,3023,C
2023-05-27,04:44,Patricio Rey y sus Redonditos de Ricota,Un Ángel para Tu Soledad,231533,C
2023-05-27,04:48,Callejeros,Prohibido,210013,C
2023-05-27,04:51,Divididos,Spaghetti del Rock,212880,C
2023-05-27,04:55,Fito Paez,Dos días en la vida,212920,C
2023-05-27,04:59,Turf,Loco Un Poco,1258,C
2023-05-27,04:59,Charly García,Nos Siguen Pegando Abajo,1535,C
2023-05-27,04:59,Los Auténticos Decadentes,Un Osito de Peluche de Taiwán,237161,C
2023-05-27,04:59,Catupecu Machu,A Veces Vuelvo,1344,C
2023-05-27,04:59,Los Tipitos,Campanas en la Noche,1621,C
2023-05-27,13:08,Attaque 77,Arrancacorazones,99029,C
2023-05-27,15:43,C. Tangana,Antes de Morirme (feat. ROSALÍA),19610,C
2023-05-27,15:43,Lao Ra,Picaflor,1020,C
2023-05-27,15:43,C. Tangana,Persiguiéndonos,2120,C
2023-05-27,15:45,C. Tangana,Estrecho / Alvarado (feat. pablopablo),150141,C
2023-05-27,15:49,C. Tangana,Yelo,189356,C
2023-05-27,15:51,C. Tangana,Llorando en la Limo (feat. Alizzz),139354,C
2023-05-27,15:53,C. Tangana,Cuando Me Miras (feat. Enry-K),143127,C
2023-05-27,15:56,Israel B,Tranquilísimo,143179,C
