endTime,artistName,trackName,msPlayed
2023-06-01 10:13,Paco Amoroso,Switch,81812
2023-06-01 10:19,Fito Paez,Brillante Sobre el Mic - EADDA9223,15608
2023-06-01 10:19,Fito Paez,La Balada de Donna Helena - EADDA9223 (feat. WOS & CA7RIEL),342215
2023-06-01 10:21,Fito Paez,"Sasha, Sissi y el Círculo de Baba - EADDA9223 (feat. Mon Laferte)",125034
2023-06-01 10:22,Andrés Calamaro,Crímenes perfectos,4991
2023-06-01 10:22,Fito Paez,Un Vestido y un Amor - EADDA9223 (feat. Marisa Monte),71061
2023-06-01 10:23,Andrés Calamaro,Cartas Sin Marcar,31786
2023-06-01 10:24,Bizarrap,"Peso Pluma: Bzrp Music Sessions, Vol. 55",82175
2023-06-01 10:27,Natanael Cano,AMG,174942
2023-06-01 10:29,Eslabon Armado,Ella Baila Sola,85314
2023-06-01 10:30,Nicki Nicole,CAEN LAS ESTRELLAS,64405
2023-06-01 10:31,YSY A,Traje Unos Tangos,63189
2023-06-01 18:34,Eminem,Stepdad,30954
2023-06-01 18:35,Eminem,Stepdad,9727
2023-06-01 18:35,Pescado Rabioso,Amame Peteribí,3733
2023-06-01 18:35,Pescado Rabioso,Amame Peteribí,4394
2023-06-01 19:38,Canserbero,Es Épico,361978
2023-06-01 19:40,YSY A,#Ysya2020 Vol. 4 - Pasa Que Yo,75541
2023-06-01 19:49,Bizarrap,"Peso Pluma: Bzrp Music Sessions, Vol. 55",241890
2023-06-01 20:07,Zeballos,Eclipse,30660
2023-06-01 20:12,2Pac,Do For Love,252500
2023-06-01 20:14,Common,Invocation,103060
2023-06-01 20:35,2Pac,I Get Around,180290
2023-06-02 00:36,Mayo 214,Me noto distinto,4410
2023-06-02 00:38,maye,Tú,143720
2023-06-02 00:44,Ms. Lauryn Hill,Doo Wop (That Thing),320266
2023-06-02 00:48,Ice Cube,You Know How We Do It,232773
2023-06-02 00:49,Junior M.A.F.I.A.,Get Money,115540
2023-06-02 00:53,Wu-Tang Clan,"C.R.E.A.M. (Cash Rules Everything Around Me) (feat. Method Man, Raekwon, Inspectah Deck & Buddha Monk)",227010
2023-06-02 00:57,maye,Yours,202720
2023-06-02 00:57,maye,Versos de Placer,3340
2023-06-02 00:59,maye,Kaleidoscope,166610
2023-06-02 01:27,¿Téo?,Belong in the Sun,136410
2023-06-02 10:18,Fito Paez,El amor después del amor,311893
2023-06-02 10:22,Fito Paez,Dos días en la vida,212920
2023-06-02 10:27,Fito Paez,Tráfico por Katmandú,6229
2023-06-02 10:27,Fito Paez,La Verónica,277469
2023-06-02 10:29,Fito Paez,Pétalo de sal,163280
2023-06-02 10:31,Fito Paez,"Sasha, Sissí y el círculo de baba",95408
2023-06-02 17:22,Tan Bionica,Loca,208813
